Row,Month,Year,Airline,MaxSeats,AllFlights
551,31/12/2023,2023,Qatar Airways,84960,240
552,31/12/2023,2023,Virgin Australia,64592,367
553,31/12/2023,2023,Garuda Indonesia,15218,60
554,31/12/2023,2023,Batik Air Indonesia,14418,89
555,31/12/2023,2023,Malindo Air,50436,273
556,31/12/2023,2023,Emirates,144458,308
557,31/12/2023,2023,Bamboo Airways,15228,52
558,31/12/2023,2023,Cathay Pacific Airways,77794,236
559,31/12/2023,2023,AirAsia X,36192,96
560,31/12/2023,2023,Malaysia Airlines,72750,250
561,31/12/2023,2023,United Airlines,54484,212
562,31/12/2023,2023,Philippine Airlines,28536,92
563,31/12/2023,2023,Fiji Airways,32912,171
564,31/12/2023,2023,Vietnam Airlines,33550,110
565,31/12/2023,2023,Singapore Airlines,134324,481
566,31/12/2023,2023,Scoot Tigerair,77960,208
567,31/12/2023,2023,China Airlines,26010,85
568,31/12/2023,2023,Japan Airlines,11761,61
569,31/12/2023,2023,Air Vanuatu,2464,14
570,31/12/2023,2023,Xiamen Airlines,17390,62
571,31/12/2023,2023,Air China,9632,32
572,31/12/2023,2023,China Eastern Airlines,18525,65
573,31/12/2023,2023,Beijing Capital Airlines,4506,17
574,31/12/2023,2023,Cebu Pacific Air,7344,16
575,31/12/2023,2023,VietJet,3770,10
